customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
3325-['N' 'S' 'A' 'U' 'G'];Female;0;Yes;No;61;Yes;No;Fiber optic;No internet service;No;No internet service;No;No;No;Month-to-month;Yes;Mailed check;82,76;5045,65;No
3329-['L' 'E' 'Q' 'M' 'H'];Male;0;Yes;No;8;No;No phone service;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;56,44;445,25;Yes
6955-['P' 'W' 'Q' 'D' 'X'];Male;0;Yes;No;41;Yes;No;DSL;No;No;No;No;Yes;No;Two year;No;Mailed check;97,57;3995,44;Yes
1409-['S' 'L' 'G' 'M' 'D'];Male;1;Yes;No;46;Yes;No;DSL;No;No internet service;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);110,33;5087,22;No
9364-['M' 'J' 'O' 'G' 'Z'];Female;0;Yes;No;33;Yes;No;DSL;No;No;No internet service;No;Yes;No;Two year;Yes;Credit card (automatic);63,35;2101,75;No
9508-['E' 'H' 'X' 'L' 'S'];Female;0;Yes;No;50;Yes;Yes;DSL;No;Yes;Yes;No;No;No internet service;Month-to-month;Yes;Credit card (automatic);37,13;1866,95;Yes
4234-['N' 'C' 'I' 'P' 'O'];Male;1;Yes;No;2;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Two year;Yes;Bank transfer (automatic);38,02;61,55;No
3522-['M' 'O' 'G' 'E' 'G'];Female;0;No;No;71;Yes;No;Fiber optic;No;No internet service;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);114,4;8129,7;No
2414-['G' 'P' 'W' 'D' 'P'];Male;0;Yes;No;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;45,52;951,21;No
6278-['V' 'B' 'L' 'H' 'O'];Female;1;No;No;47;Yes;No phone service;DSL;No;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;73,38;3450,84;No
9788-['R' 'R' 'M' 'G' 'D'];Female;1;Yes;No;71;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);62,5;4439,9;Yes
2864-['F' 'G' 'B' 'J' 'G'];Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;34,71;26,24;Yes
4619-['H' 'O' 'H' 'H' 'D'];Male;1;Yes;No;47;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);24,79;1169,04;Yes
5992-['X' 'X' 'G' 'O' 'B'];Female;0;Yes;Yes;37;Yes;No;Fiber optic;Yes;No;No;Yes;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);110,98;4096,59;No
8703-['Z' 'W' 'A' 'N' 'N'];Female;0;Yes;No;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;69,65;550,03;No
3568-['V' 'Q' 'M' 'Q' 'P'];Male;0;No;Yes;27;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;101,95;2762,11;Yes
1084-['J' 'E' 'D' 'U' 'R'];Female;0;No;No;59;Yes;No;Fiber optic;No;No;No;No;No internet service;No;One year;Yes;Mailed check;22,06;1309,28;No
2057-['B' 'J' 'R' 'K' 'C'];Female;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Electronic check;68,05;3543,14;No
6238-['Q' 'N' 'O' 'T' 'X'];Male;1;No;No;65;Yes;No;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;90,47;5879,12;Yes
3341-['W' 'Y' 'W' 'M' 'Y'];Female;1;Yes;No;2;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);40,81;77,7;Yes
7100-['H' 'M' 'W' 'F' 'C'];Female;0;No;No;59;Yes;No;Fiber optic;Yes;No;No;No;No;No;Two year;No;Mailed check;117,34;6926,02;No
8615-['I' 'I' 'J' 'J' 'S'];Female;0;Yes;No;23;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;No;Mailed check;68,92;1581,38;No
5361-['Z' 'C' 'J' 'D' 'N'];Male;0;No;Yes;49;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);33,94;1654,01;No
6621-['I' 'C' 'I' 'H' 'M'];Female;0;Yes;No;41;Yes;Yes;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;23,12;975,17;Yes
3781-['G' 'A' 'L' 'C' 'H'];Male;0;Yes;No;36;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);45,46;1657,46;Yes
9481-['Z' 'J' 'I' 'E' 'G'];Female;1;Yes;No;64;Yes;No;DSL;No;Yes;No;No;No;Yes;Month-to-month;Yes;Mailed check;74,8;4768,54;No
6047-['X' 'V' 'G' 'G' 'N'];Male;0;Yes;No;63;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Mailed check;57,55;3634,54;No
5584-['A' 'H' 'Y' 'T' 'Y'];Male;0;No;No;56;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);62,27;3489,76;Yes
2511-['W' 'J' 'L' 'M' 'F'];Female;0;No;No;15;Yes;Yes;DSL;Yes;No;No;No;Yes;Yes;One year;No;Electronic check;35,34;562,54;No
2915-['D' 'D' 'K' 'H' 'Q'];Female;1;No;Yes;35;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Two year;Yes;Credit card (automatic);29,12;1014,61;No
1269-['J' 'I' 'O' 'X' 'S'];Male;0;Yes;Yes;30;Yes;No;DSL;No;No internet service;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);93,81;2827,61;No
4193-['Q' 'G' 'A' 'H' 'Y'];Male;0;No;No;62;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);111,87;6928,91;Yes
2998-['H' 'U' 'V' 'D' 'N'];Male;0;Yes;No;46;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);102,84;4740,34;No
4105-['L' 'C' 'A' 'I' 'R'];Female;1;No;No;40;Yes;No phone service;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);44,22;1760,69;No
4773-['L' 'Z' 'R' 'C' 'D'];Female;0;Yes;Yes;49;Yes;Yes;DSL;No;No;Yes;Yes;No;Yes;Month-to-month;No;Bank transfer (automatic);60,08;2937,38;No
8024-['Z' 'B' 'R' 'Q' 'D'];Male;0;No;No;42;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;71,9;3017,66;No
8975-['G' 'O' 'T' 'S' 'Y'];Male;0;No;No;36;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);107,6;3866,14;Yes
9748-['B' 'Y' 'D' 'N' 'Q'];Male;0;No;No;29;No;No phone service;Fiber optic;No;Yes;No;No internet service;Yes;No;Month-to-month;Yes;Electronic check;101,42;2963,44;Yes
4031-['Y' 'J' 'B' 'H' 'V'];Female;0;No;No;19;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Electronic check;99,89;1912,37;No
9334-['P' 'I' 'B' 'C' 'D'];Male;0;Yes;Yes;37;Yes;Yes;DSL;Yes;No internet service;Yes;No;No;No internet service;Month-to-month;No;Credit card (automatic);72,41;2674,52;Yes
1278-['P' 'M' 'X' 'R' 'K'];Female;0;No;No;31;Yes;No phone service;Fiber optic;No;Yes;Yes;No;No;Yes;Two year;No;Electronic check;51,76;1606,71;No
3035-['T' 'O' 'A' 'G' 'V'];Male;0;Yes;No;47;Yes;Yes;DSL;No;No;No internet service;No;Yes;Yes;One year;Yes;Bank transfer (automatic);80,62;3805,79;Yes
1202-['W' 'N' 'W' 'P' 'U'];Male;0;No;Yes;71;Yes;Yes;DSL;No;No internet service;No internet service;No;Yes;No;Month-to-month;Yes;Electronic check;105,08;7457,25;Yes
6355-['B' 'O' 'W' 'X' 'B'];Male;0;No;No;26;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;No;Bank transfer (automatic);69,14;1808,34;No
9134-['M' 'K' 'M' 'N' 'G'];Female;0;No;No;18;Yes;Yes;DSL;No;No;Yes;No;No internet service;Yes;Month-to-month;No;Bank transfer (automatic);119,41;2158,07;Yes
9702-['C' 'I' 'T' 'O' 'V'];Male;1;No;No;20;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Credit card (automatic);22,2;438,4;No
1639-['Y' 'T' 'V' 'T' 'A'];Male;0;Yes;No;31;Yes;No;DSL;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);93,61;2898,61;Yes
7422-['R' 'P' 'X' 'W' 'U'];Female;0;No;No;9;Yes;No;Fiber optic;No internet service;No;No internet service;No;No;Yes;Month-to-month;No;Mailed check;110,62;986,89;Yes
8150-['T' 'H' 'U' 'D' 'H'];Male;0;No;No;35;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);67,73;2382,52;Yes
2632-['J' 'E' 'D' 'I' 'P'];Male;0;Yes;Yes;52;Yes;No phone service;Fiber optic;No;No;No;No internet service;No;No;Month-to-month;No;Bank transfer (automatic);22,69;1174,45;No
6030-['G' 'U' 'G' 'C' 'V'];Male;0;No;No;19;Yes;Yes;DSL;No;No;No;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);103,59;1968,89;No
7621-['O' 'W' 'J' 'B' 'Z'];Male;0;No;No;66;Yes;Yes;DSL;Yes;No;No;Yes;No;No;One year;No;Credit card (automatic);71,1;4693,5;No
7089-['Y' 'V' 'B' 'B' 'W'];Female;0;Yes;No;33;Yes;No;Fiber optic;No internet service;No;Yes;No;No;No internet service;Month-to-month;Yes;Electronic check;98,77;3261,58;Yes
4042-['W' 'N' 'G' 'O' 'L'];Male;1;No;No;14;Yes;Yes;Fiber optic;Yes;No internet service;Yes;No;No;No internet service;Month-to-month;No;Credit card (automatic);42,21;599,96;No
3087-['A' 'B' 'E' 'J' 'V'];Female;0;Yes;Yes;68;Yes;Yes;DSL;No;No internet service;No;Yes;No;Yes;Month-to-month;No;Electronic check;87,72;5954,26;Yes
1200-['F' 'E' 'W' 'F' 'M'];Female;0;No;Yes;72;Yes;No;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;77,51;5562,19;Yes
1235-['K' 'H' 'A' 'A' 'L'];Female;1;Yes;No;57;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Two year;No;Electronic check;27,92;1605,12;No
3908-['H' 'Z' 'J' 'N' 'K'];Female;0;Yes;Yes;0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;39,6;7,32;No
4916-['K' 'N' 'D' 'K' 'Y'];Female;0;No;Yes;51;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Bank transfer (automatic);73,15;3737,49;Yes
3387-['R' 'D' 'R' 'S' 'N'];Male;0;Yes;No;54;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;110,89;5991,2;No
5280-['W' 'A' 'G' 'H' 'B'];Male;0;No;No;3;Yes;No;DSL;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;94,02;292,59;Yes
9925-['L' 'E' 'A' 'V' 'O'];Male;1;Yes;No;4;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Credit card (automatic);90,22;353,51;Yes
8814-['Y' 'B' 'T' 'Y' 'P'];Female;0;Yes;No;40;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);87,2;3504,43;No
3501-['T' 'B' 'M' 'P' 'K'];Female;1;No;No;60;Yes;No;DSL;Yes;No;No;No internet service;Yes;No;Month-to-month;Yes;Mailed check;93,23;5582,67;Yes
4831-['V' 'I' 'V' 'H' 'N'];Male;0;No;No;17;Yes;No;DSL;Yes;Yes;No internet service;No;No internet service;Yes;Month-to-month;No;Bank transfer (automatic);103,25;1763,78;Yes
1796-['Q' 'N' 'X' 'W' 'A'];Female;0;Yes;No;46;Yes;No;Fiber optic;No;No;No;No;No internet service;Yes;Month-to-month;Yes;Mailed check;60,85;2806,23;No
2853-['W' 'Y' 'O' 'T' 'W'];Female;0;No;No;33;Yes;No;DSL;Yes;No internet service;Yes;Yes;No;No;Month-to-month;Yes;Electronic check;75,19;2474,08;No
3641-['Q' 'K' 'U' 'W' 'W'];Male;0;Yes;No;37;Yes;No;DSL;No;No;No;No;Yes;No;One year;Yes;Mailed check;58,38;2157,77;No
5512-['Z' 'H' 'D' 'I' 'O'];Female;0;No;No;53;Yes;No phone service;Fiber optic;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);65,11;3445,65;Yes
3947-['Y' 'S' 'Q' 'H' 'Y'];Male;0;Yes;No;64;Yes;Yes;Fiber optic;No;No;Yes;No;No;No internet service;Month-to-month;Yes;Credit card (automatic);29,04;1855,37;No
2748-['G' 'U' 'Z' 'C' 'Z'];Female;0;No;Yes;10;Yes;No;DSL;Yes;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);71,48;695,26;Yes
6266-['D' 'D' 'K' 'X' 'N'];Male;0;Yes;No;13;Yes;Yes;Fiber optic;No internet service;Yes;No internet service;No;No;No;Month-to-month;Yes;Credit card (automatic);38,83;513,51;Yes
7516-['Y' 'O' 'H' 'C' 'A'];Male;0;No;No;65;Yes;No;DSL;Yes;No;Yes;No;No;Yes;Month-to-month;No;Credit card (automatic);38,08;2464,41;No
2744-['T' 'V' 'O' 'Q' 'M'];Male;0;Yes;Yes;20;No;No phone service;Fiber optic;No;No;No;No;No;No;One year;Yes;Bank transfer (automatic);26,37;536,18;No
6145-['K' 'V' 'Q' 'T' 'T'];Male;0;Yes;Yes;26;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Bank transfer (automatic);74,97;1964,78;Yes
6161-['G' 'U' 'P' 'I' 'K'];Female;1;Yes;Yes;59;Yes;No phone service;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;22,55;1325,59;Yes
6344-['P' 'G' 'O' 'K' 'L'];Female;0;No;Yes;18;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);40,01;706,5;No
7560-['Y' 'O' 'W' 'W' 'B'];Male;0;Yes;No;47;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;No internet service;One year;No;Bank transfer (automatic);50,54;2373,3;No
4766-['Z' 'Q' 'D' 'K' 'L'];Female;0;Yes;Yes;45;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;44,11;1980,29;Yes
8387-['L' 'K' 'L' 'H' 'D'];Female;0;Yes;Yes;70;Yes;Yes;Fiber optic;No;No;No;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);83,17;5824,42;No
5893-['C' 'B' 'G' 'X' 'J'];Male;0;Yes;No;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;38,73;1633,58;No
6673-['Y' 'U' 'K' 'L' 'Y'];Female;0;Yes;No;39;Yes;No phone service;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);67,27;2613,62;No
5944-['Q' 'C' 'J' 'S' 'V'];Female;0;No;Yes;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;66,15;3790,36;No
1876-['R' 'L' 'C' 'P' 'Q'];Female;0;No;Yes;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);53,61;1232,25;No
2139-['Y' 'R' 'A' 'Z' 'Y'];Female;0;No;Yes;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);105,49;3364,72;No
